Date,Open,High,Low,Close,Adj Close,Volume
2020-11-01,3296.199951,3645.989990,3279.739990,3621.629883,3621.629883,101247180000
2020-12-01,3645.870117,3760.199951,3633.399902,3756.070068,3756.070068,96375680000
2021-01-01,3764.610107,3870.899902,3662.709961,3714.239990,3714.239990,106117800000
2021-02-01,3731.169922,3950.429932,3725.620117,3811.149902,3811.149902,99082320000
2021-03-01,3842.510010,3994.409912,3723.340088,3972.889893,3972.889893,122371150000
2021-04-01,3992.780029,4218.779785,3992.780029,4181.169922,4181.169922,83124090000
2021-05-01,4191.979980,4238.040039,4056.879883,4204.109863,4204.109863,88321860000
2021-06-01,4216.520020,4302.430176,4164.399902,4297.500000,4297.500000,102544180000
2021-07-01,4300.729980,4429.970215,4233.129883,4395.259766,4395.259766,84255620000
2021-08-01,4406.859863,4537.359863,4367.729980,4522.680176,4522.680176,80500760000
2021-09-01,4528.799805,4545.850098,4305.910156,4307.540039,4307.540039,85528860000
2021-10-01,4317.160156,4608.080078,4278.939941,4605.379883,4605.379883,80253600000
2021-11-01,4610.620117,4743.830078,4560.000000,4567.000000,4567.000000,88268840000
2021-12-01,4602.819824,4808.930176,4495.120117,4766.180176,4766.180176,92750180000
2022-01-01,4778.140137,4818.620117,4222.620117,4515.549805,4515.549805,95562890000
2022-02-01,4519.569824,4595.310059,4114.649902,4373.939941,4373.939941,92667710000
2022-03-01,4363.140137,4637.299805,4157.870117,4530.410156,4530.410156,123546260000
2022-04-01,4540.319824,4593.450195,4124.279785,4131.930176,4131.930176,90367840000
2022-05-01,4130.609863,4307.660156,3810.320068,4132.149902,4132.149902,108860390000
2022-06-01,4149.779785,4177.509766,3636.870117,3785.379883,3785.379883,106116710000
2022-07-01,3781.000000,4140.149902,3721.560059,4130.290039,4130.290039,81688320000
2022-08-01,4112.379883,4325.279785,3954.530029,3955.000000,3955.000000,92252350000
2022-09-01,3936.729980,4119.279785,3584.129883,3585.620117,3585.620117,94241020000
2022-10-01,3609.780029,3905.419922,3491.580078,3871.979980,3871.979980,95823760000
2022-11-01,3901.790039,4080.110107,3698.149902,4080.110107,4080.110107,92671910000
2022-12-01,4087.139893,4100.959961,3764.489990,3839.500000,3839.500000,85249330000
2023-01-01,3853.290039,4094.209961,3794.330078,4076.600098,4076.600098,80763810000
2023-02-01,4070.070068,4195.439941,3943.080078,3970.149902,3970.149902,80392280000
2023-03-01,3963.340088,4110.750000,3808.860107,4109.310059,4109.310059,113094800000
2023-04-01,4102.200195,4170.060059,4049.350098,4169.479980,4169.479980,70861260000
2023-05-01,4166.790039,4231.100098,4048.280029,4179.830078,4179.830078,88929200000
2023-06-01,4183.029785,4458.479980,4171.640137,4450.379883,4450.379883,87983140000
2023-07-01,4450.479980,4607.069824,4385.049805,4588.959961,4588.959961,75063200000
2023-08-01,4578.830078,4584.620117,4335.310059,4507.660156,4507.660156,86840820000
2023-09-01,4530.600098,4541.250000,4238.629883,4288.049805,4288.049805,73482980000
2023-10-01,4284.520020,4393.569824,4103.779785,4193.799805,4193.799805,79952900000
2023-11-01,4201.270020,4557.109863,4197.740234,4547.379883,4547.379883,55968890000
