DATE,USPRIV_PCH
1960-08-01,-0.13954
1960-09-01,-0.14629
1960-10-01,-0.20335
1960-11-01,-0.42726
1960-12-01,-0.66014
1961-01-01,-0.05759
1961-02-01,-0.33024
1961-03-01,0.17345
1961-04-01,-0.11099
1961-05-01,0.27557
1961-06-01,0.37011
1961-07-01,0.24288
1961-08-01,0.29736
1961-09-01,0.12738
1961-10-01,0.27417
1961-11-01,0.46591
1961-12-01,0.23079
1962-01-01,0.00869
1962-02-01,0.58645
1962-03-01,0.13820
1962-04-01,0.65985
1962-05-01,-0.02142
1962-06-01,-0.05571
1962-07-01,0.16294
1962-08-01,0.11772
1962-09-01,0.24372
1962-10-01,0.08104
1962-11-01,-0.03410
1962-12-01,-0.01919
1963-01-01,0.01919
1963-02-01,0.18759
1963-03-01,0.16171
1963-04-01,0.51195
1963-05-01,0.02536
1963-06-01,0.06127
1963-07-01,0.21750
1963-08-01,0.17278
1963-09-01,0.25030
1963-10-01,0.30004
1963-11-01,-0.06903
1963-12-01,0.19468
1964-01-01,0.12744
1964-02-01,0.51539
1964-03-01,0.23665
1964-04-01,-0.01657
1964-05-01,0.29206
1964-06-01,0.27055
1964-07-01,0.38105
1964-08-01,0.31189
1964-09-01,0.47047
1964-10-01,-0.34408
1964-11-01,0.79881
1964-12-01,0.37496
1965-01-01,0.24433
1965-02-01,0.36459
1965-03-01,0.33517
1965-04-01,0.43006
1965-05-01,0.37643
1965-06-01,0.32740
1965-07-01,0.39951
1965-08-01,0.38019
1965-09-01,0.38268
1965-10-01,0.36949
1965-11-01,0.42656
1965-12-01,0.51009
1966-01-01,0.31839
1966-02-01,0.37893
1966-03-01,0.60362
1966-04-01,0.33905
1966-05-01,0.40434
1966-06-01,0.60124
1966-07-01,0.22177
1966-08-01,0.32629
1966-09-01,0.14766
1966-10-01,0.27436
1966-11-01,0.16565
1966-12-01,0.23599
1967-01-01,0.27622
1967-02-01,-0.02958
1967-03-01,0.10541
1967-04-01,-0.18842
1967-05-01,0.21284
1967-06-01,0.12928
1967-07-01,0.23609
1967-08-01,0.38459
1967-09-01,-0.02200
1967-10-01,0.07701
1967-11-01,0.77863
1967-12-01,0.28541
1968-01-01,-0.28098
1968-02-01,0.70169
1968-03-01,0.10290
1968-04-01,0.40575
1968-05-01,0.12393
1968-06-01,0.30674
1968-07-01,0.33978
1968-08-01,0.32081
1968-09-01,0.22918
1968-10-01,0.35982
1968-11-01,0.45390
1968-12-01,0.39735
1969-01-01,0.22241
1969-02-01,0.42810
1969-03-01,0.34972
1969-04-01,0.26181
1969-05-01,0.37526
1969-06-01,0.40142
1969-07-01,0.19219
1969-08-01,0.42131
1969-09-01,-0.17055
1969-10-01,0.26651
1969-11-01,-0.09030
1969-12-01,0.21488
1970-01-01,-0.14294
1970-02-01,0.18234
1970-03-01,0.10376
1970-04-01,-0.34836
1970-05-01,-0.31888
1970-06-01,-0.16080
1970-07-01,-0.01028
1970-08-01,-0.22277
1970-09-01,-0.03950
1970-10-01,-0.81611
1970-11-01,-0.25811
1970-12-01,0.63912
1971-01-01,0.06903
1971-02-01,-0.09830
1971-03-01,0.03798
1971-04-01,0.23985
1971-05-01,0.32019
1971-06-01,-0.05319
1971-07-01,0.09958
1971-08-01,0.04802
1971-09-01,0.36687
1971-10-01,-0.03245
1971-11-01,0.29388
1971-12-01,0.37479
1972-01-01,0.43449
1972-02-01,0.29573
1972-03-01,0.44650
1972-04-01,0.31703
1972-05-01,0.41636
1972-06-01,0.49956
1972-07-01,-0.20877
1972-08-01,0.63759
1972-09-01,0.12869
1972-10-01,0.62450
1972-11-01,0.42903
1972-12-01,0.41415
1973-01-01,0.55696
1973-02-01,0.60717
1973-03-01,0.37879
1973-04-01,0.22226
1973-05-01,0.24410
1973-06-01,0.29285
1973-07-01,0.05237
1973-08-01,0.34260
1973-09-01,0.18968
1973-10-01,0.38811
1973-11-01,0.40075
1973-12-01,0.11896
1974-01-01,0.07661
1974-02-01,0.17029
1974-03-01,0.03899
1974-04-01,0.07327
1974-05-01,0.21343
1974-06-01,0.05752
1974-07-01,-0.02641
1974-08-01,-0.08858
1974-09-01,-0.16021
1974-10-01,-0.06543
1974-11-01,-0.64384
1974-12-01,-1.00419
1975-01-01,-0.67202
1975-02-01,-0.79465
1975-03-01,-0.44555
1975-04-01,-0.36999
1975-05-01,0.21406
1975-06-01,-0.09709
1975-07-01,0.27860
1975-08-01,0.60411
1975-09-01,0.19427
1975-10-01,0.37818
1975-11-01,0.22669
1975-12-01,0.46032
1976-01-01,0.73409
1976-02-01,0.47376
1976-03-01,0.35404
1976-04-01,0.38401
1976-05-01,0.05287
1976-06-01,0.11190
1976-07-01,0.21890
1976-08-01,0.22152
1976-09-01,0.34623
1976-10-01,-0.05853
1976-11-01,0.43771
1976-12-01,0.31611
1977-01-01,0.39925
1977-02-01,0.45403
1977-03-01,0.62034
1977-04-01,0.47030
1977-05-01,0.45459
1977-06-01,0.48539
1977-07-01,0.37752
1977-08-01,0.31391
1977-09-01,0.56386
1977-10-01,0.30530
1977-11-01,0.46973
1977-12-01,0.31169
1978-01-01,0.16117
1978-02-01,0.42619
1978-03-01,0.65245
1978-04-01,0.91210
1978-05-01,0.44056
1978-06-01,0.59851
1978-07-01,0.28833
1978-08-01,0.40531
1978-09-01,0.29333
1978-10-01,0.41224
1978-11-01,0.55341
1978-12-01,0.36277
1979-01-01,0.15256
1979-02-01,0.32523
1979-03-01,0.56765
