,Month,Construction,Information,Total_Private
1,2006-06-01,-0.0018151173343705,-0.0009871668311944,0.0007435204380647
2,2006-07-01,0.001688530978049,-0.0016469038208168,0.0012499344439976
3,2006-08-01,0.0010373443983402,0.0013196964698119,0.0011174257304734
4,2006-09-01,-0.0002590673575129,-0.0023064250411861,0.0005668093863634
5,2006-10-01,-0.004664420834413,-0.0013210039630118,0.0003311777727423
6,2006-11-01,-0.0020827909398594,0.0,0.0017947377591914
7,2006-12-01,0.0024784763892512,0.0033068783068783,0.0015567112518045
8,2007-01-01,0.0052049446974625,-0.001318391562294,0.0018755698345851
9,2007-02-01,-0.0128155339805825,0.0013201320132013,0.0003640114056907
10,2007-03-01,0.01049042748492,-0.001318391562294,0.0018107309634994
11,2007-04-01,-0.0025953802232026,0.0016501650165016,0.0003113325031133
12,2007-05-01,-0.0016913869372885,0.0016474464579901,0.0011411972196285
13,2007-06-01,0.0018245796950345,-0.0006578947368421,0.0005613126079447
14,2007-07-01,-0.0035124235722648,-0.0003291639236339,5.1784404263582616e-05
15,2007-08-01,-0.0065274151436031,-0.0029634507737899,-0.0006904229703722
16,2007-09-01,-0.0043363994743758,0.0009907529722589,0.0002849962432313
17,2007-10-01,-0.0015837402665962,-0.0009897723523589,0.0004575908274623
18,2007-11-01,-0.0055518836748182,-0.0009907529722589,0.0006990170611941
19,2007-12-01,-0.0043865479197128,0.0003305785123966,0.0005519239724727
20,2008-01-01,-0.0018691588785046,0.0,-9.48096050748996e-05
21,2008-02-01,-0.0030765115034777,-0.0023132848645076,-0.0009050865866167
22,2008-03-01,-0.0063061854286864,0.000662471016893,-0.0008110020188773
23,2008-04-01,-0.0106670267350796,-0.0026481297583581,-0.0019341691707249
24,2008-05-01,-0.0072335198580592,-0.0016594756057085,-0.0019379174308751
25,2008-06-01,-0.0083860324443222,-0.0023271276595744,-0.0016642973544606
26,2008-07-01,-0.0073478441702481,-0.0046651116294568,-0.0021533011495849
27,2008-08-01,-0.0064245810055865,-0.0050217609641781,-0.0024537955518429
28,2008-09-01,-0.009839752600506,-0.003364737550471,-0.0036723015997627
29,2008-10-01,-0.010931289040318,-0.0037137069547602,-0.0041673597674683
30,2008-11-01,-0.0221042055404047,-0.0067773636055574,-0.0066728207833311
31,2008-12-01,-0.0164391604285923,-0.0068236096895257,-0.0061335032658913
32,2009-01-01,-0.0199970153708401,-0.0068704912401236,-0.0071509354990961
33,2009-02-01,-0.0184254606365159,-0.0044967139398132,-0.006771907794421
34,2009-03-01,-0.0240459199503568,-0.0048644892286309,-0.0072425159163769
35,2009-04-01,-0.0217771419488157,-0.0111731843575419,-0.007140712979724
36,2009-05-01,-0.0087747806304842,-0.0088276836158192,-0.0027027522263348
37,2009-06-01,-0.0147540983606557,-0.0042750267189169,-0.0039227214684023
38,2009-07-01,-0.0129783693843594,-0.00608228980322,-0.0026377437146071
39,2009-08-01,-0.01298044504383,-0.0039596832253419,-0.0018217125947845
40,2009-09-01,-0.0116140051238257,0.0007228044813877,-0.0014266788953429
41,2009-10-01,-0.0122688785208225,-0.0018057060310581,-0.0023286235144588
42,2009-11-01,-0.0034989503149055,-0.004341534008683,-0.000111588461753
43,2009-12-01,-0.0073735955056179,-0.0025436046511627,-0.001860015252125
44,2010-01-01,-0.0130880792359391,-0.0021857923497267,-0.0001770307288075
45,2010-02-01,-0.014336917562724,-0.0007301935012778,-0.0007734816927134
46,2010-03-01,0.0067272727272727,-0.0065765436609426,0.0011378049690367
47,2010-04-01,0.0028896514357955,-0.0018389113644722,0.0018631341642911
48,2010-05-01,-0.0059427336574824,-0.002210759027266,0.0009577297156565
49,2010-06-01,-0.0007246376811594,-0.0025849335302806,0.0010404183968267
50,2010-07-01,-0.0014503263234227,0.0007404664938911,0.0008351815591911
51,2010-08-01,0.0029048656499636,-0.000739918608953,0.0014186238421525
52,2010-09-01,-0.0041636495293265,-0.0014809329877823,0.000814784637606
53,2010-10-01,0.0012724959098345,-0.0007415647015202,0.002137068423195
54,2010-11-01,-0.0003631082062454,-0.0022263450834879,0.0013293575694912
55,2010-12-01,-0.0070831819832909,-0.0026031982149497,0.0009403781795384
56,2011-01-01,-0.0073166270349368,-0.0014914243102162,0.0001381609851799
57,2011-02-01,0.0044223327805417,-0.0022404779686333,0.0023299933691888
58,2011-03-01,0.0047697670152265,0.0,0.0022786368606264
59,2011-04-01,0.001460653642505,0.0007485029940119,0.0030709996791492
60,2011-05-01,0.0056517775752051,0.0018698578908002,0.0014165600438676
61,2011-06-01,0.0021754894851341,0.0022396416573348,0.0017978553502167
62,2011-07-01,0.003437047756874,-0.0037243947858473,0.0015486645046095
63,2011-08-01,0.0009013881377321,-0.0160747663551401,0.0015007913263357
64,2011-09-01,0.0057636887608069,0.0167173252279635,0.0023159290508323
65,2011-10-01,0.0007163323782234,0.0003736920777279,0.0017850347039741
66,2011-11-01,0.0008947745168217,-0.000373552484124,0.0015466854801508
67,2011-12-01,0.0032183086000357,0.0011210762331838,0.0019597218459315
68,2012-01-01,0.0026733202637675,-0.0052258305337812,0.0031816993699694
69,2012-02-01,0.0005332385353714,0.0041275797373358,0.0024348607367475
70,2012-03-01,-0.0007106057914372,0.0007473841554559,0.0020614675856629
71,2012-04-01,-0.0012444444444444,0.0007468259895444,0.000849724063291
72,2012-05-01,-0.0024919900320398,0.001865671641791,0.0011439193536855
73,2012-06-01,0.0030335474660956,-0.004096834264432,0.0004731129043776
74,2012-07-01,0.0019569471624266,0.0018698578908002,0.0014543572722324
