,Month,Deficit_mil
216,1998-10-01,-32440.0
217,1998-11-01,-16937.0
218,1998-12-01,-5156.0
219,1999-01-01,70505.0
220,1999-02-01,-42337.0
221,1999-03-01,-22409.0
222,1999-04-01,113459.0
223,1999-05-01,-23969.0
224,1999-06-01,53568.0
225,1999-07-01,-25164.0
226,1999-08-01,-2803.0
227,1999-09-01,58042.0
228,1999-10-01,-26326.0
229,1999-11-01,-27031.0
230,1999-12-01,33081.0
231,2000-01-01,62152.0
232,2000-02-01,-41734.0
233,2000-03-01,-35380.0
234,2000-04-01,159497.0
235,2000-05-01,-3611.0
236,2000-06-01,55888.0
237,2000-07-01,5061.0
238,2000-08-01,-10427.0
239,2000-09-01,65747.0
240,2000-10-01,-11321.0
241,2000-11-01,-23690.0
242,2000-12-01,32666.0
243,2001-01-01,76379.0
244,2001-02-01,-48168.0
245,2001-03-01,-50662.0
246,2001-04-01,189796.0
247,2001-05-01,-27919.0
248,2001-06-01,31862.0
249,2001-07-01,2820.0
250,2001-08-01,-79990.0
251,2001-09-01,35501.0
252,2001-10-01,-7656.0
253,2001-11-01,-54267.0
254,2001-12-01,26567.0
255,2002-01-01,43729.0
256,2002-02-01,-76056.0
257,2002-03-01,-64238.0
258,2002-04-01,67170.0
259,2002-05-01,-80631.0
260,2002-06-01,29071.0
261,2002-07-01,-29159.0
262,2002-08-01,-54709.0
263,2002-09-01,42388.0
264,2002-10-01,-54072.0
265,2002-11-01,-58883.0
266,2002-12-01,4719.0
267,2003-01-01,10633.0
268,2003-02-01,-96663.0
269,2003-03-01,-58877.0
270,2003-04-01,51066.0
271,2003-05-01,-88867.0
272,2003-06-01,21230.0
273,2003-07-01,-54240.0
274,2003-08-01,-76587.0
275,2003-09-01,23402.0
276,2003-10-01,-69545.0
277,2003-11-01,-42971.0
278,2003-12-01,-17640.0
279,2004-01-01,-1633.0
280,2004-02-01,-96701.0
281,2004-03-01,-72913.0
282,2004-04-01,17578.0
283,2004-05-01,-62463.0
284,2004-06-01,19124.0
285,2004-07-01,-69160.0
286,2004-08-01,-41132.0
287,2004-09-01,24611.0
288,2004-10-01,-56618.0
289,2004-11-01,-57170.0
290,2004-12-01,-2561.0
291,2005-01-01,8106.0
292,2005-02-01,-113789.0
293,2005-03-01,-71724.0
294,2005-04-01,57924.0
295,2005-05-01,-36190.0
296,2005-06-01,22473.0
297,2005-07-01,-53395.0
298,2005-08-01,-51036.0
299,2005-09-01,35234.0
300,2005-10-01,-47277.0
301,2005-11-01,-83072.0
302,2005-12-01,10967.0
303,2006-01-01,20964.0
304,2006-02-01,-119237.0
305,2006-03-01,-85281.0
306,2006-04-01,118841.0
307,2006-05-01,-42907.0
308,2006-06-01,20517.0
309,2006-07-01,-33164.0
310,2006-08-01,-64717.0
311,2006-09-01,56167.0
312,2006-10-01,-49321.0
313,2006-11-01,-73042.0
314,2006-12-01,41961.0
315,2007-01-01,38236.0
316,2007-02-01,-119993.0
317,2007-03-01,-96270.0
318,2007-04-01,177674.0
