,Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Private education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
0,2003-10-01,0.0,133.0,3.0,1.0,-13.0,-0.2999999999992724,18.700000000000728,9.199999999999818,-0.10000000000002274,-7.0,-10.0,22.0,59.0,51.0,-1.0,54.0,-7.0,7.0,54.0
1,2003-11-01,0.0,66.0,3.0,12.0,-18.0,2.0999999999994543,-24.0,3.5,-1.5,-5.0,-7.0,38.0,36.0,25.0,2.0,-23.0,-14.0,1.0,-10.0
2,2003-12-01,0.0,102.0,-1.0,31.0,-16.0,12.199999999999818,-2.5,-13.199999999999818,-0.7000000000000455,0.0,-7.0,27.0,38.0,36.0,-1.0,11.0,12.0,-7.0,6.0
3,2004-01-01,0.0,178.0,1.0,21.0,-10.0,11.400000000000546,43.100000000000364,30.099999999999454,-0.599999999999909,-9.0,2.0,29.0,32.0,26.0,2.0,-8.0,-8.0,-16.0,16.0
4,2004-02-01,0.0,45.0,1.0,-10.0,-11.0,5.699999999999818,-0.9000000000014552,4.600000000000364,-1.5,0.0,0.0,13.0,18.0,26.0,0.0,12.0,-1.0,2.0,11.0
5,2004-03-01,0.0,279.0,7.0,49.0,8.0,6.600000000000364,49.5,16.699999999999818,0.1999999999999318,-7.0,7.0,27.0,49.0,53.0,13.0,38.0,0.0,6.0,32.0
6,2004-04-01,0.0,245.0,3.0,14.0,28.0,20.199999999999818,20.0,-6.199999999999818,-0.1999999999999318,-4.0,12.0,112.0,35.0,10.0,1.0,26.0,22.0,0.0,4.0
7,2004-05-01,0.0,284.0,4.0,47.0,27.0,2.5,15.100000000000364,12.899999999999636,-1.5,5.0,18.0,73.0,35.0,46.0,0.0,0.0,-23.0,-2.0,25.0
8,2004-06-01,0.0,108.0,0.0,14.0,-10.0,4.300000000000182,22.899999999999636,14.600000000000364,-1.5,1.0,1.0,32.0,15.0,14.0,1.0,-13.0,0.0,7.0,-20.0
9,2004-07-01,0.0,55.0,3.0,15.0,-2.0,8.5,-16.599999999998545,9.699999999999818,-1.7000000000000455,-12.0,-17.0,40.0,34.0,0.0,-6.0,5.0,-1.0,4.0,2.0
10,2004-08-01,0.0,67.0,1.0,26.0,15.0,8.399999999999636,1.5999999999985448,6.300000000000182,-3.2999999999999545,-16.0,8.0,-2.0,36.0,-10.0,-4.0,20.0,0.0,3.0,17.0
11,2004-09-01,0.0,137.0,2.0,26.0,-14.0,12.699999999999818,23.400000000001455,12.300000000000182,-0.5,-12.0,13.0,23.0,-9.0,65.0,-5.0,9.0,0.0,0.0,9.0
12,2004-10-01,0.0,330.0,-3.0,48.0,1.0,4.600000000000364,28.099999999998545,9.299999999999272,-1.8000000000000682,3.0,-5.0,119.0,103.0,32.0,-8.0,21.0,-5.0,8.0,18.0
13,2004-11-01,0.0,40.0,5.0,14.0,-25.0,1.5999999999994543,21.400000000001455,-1.5999999999994543,-2.7999999999999545,-11.0,2.0,-18.0,27.0,24.0,3.0,36.0,3.0,5.0,28.0
14,2004-12-01,0.0,123.0,2.0,26.0,-20.0,13.700000000000728,-6.700000000000728,17.800000000000182,0.0,-11.0,16.0,16.0,45.0,24.0,0.0,1.0,1.0,-3.0,3.0
15,2005-01-01,0.0,103.0,6.0,-22.0,-30.0,-6.100000000000364,19.0,9.099999999999454,1.8999999999999773,-6.0,10.0,54.0,34.0,35.0,-2.0,42.0,-1.0,24.0,19.0
16,2005-02-01,0.0,246.0,3.0,58.0,16.0,13.399999999999636,40.20000000000073,13.300000000000182,-0.2999999999999545,-14.0,3.0,84.0,10.0,25.0,-5.0,9.0,1.0,-4.0,12.0
17,2005-03-01,0.0,124.0,6.0,28.0,-4.0,9.700000000000728,2.7999999999992724,9.800000000000182,-2.2000000000000455,5.0,-7.0,29.0,26.0,28.0,-7.0,-4.0,5.0,-2.0,-7.0
18,2005-04-01,0.0,349.0,4.0,85.0,-19.0,11.099999999999454,49.70000000000073,15.199999999999818,-0.2999999999999545,4.0,11.0,60.0,38.0,84.0,6.0,14.0,-8.0,6.0,16.0
19,2005-05-01,0.0,144.0,2.0,28.0,6.0,12.199999999999818,16.0,9.699999999999818,-0.8000000000000682,-4.0,4.0,23.0,61.0,-5.0,-8.0,27.0,9.0,3.0,15.0
20,2005-06-01,0.0,271.0,3.0,39.0,-29.0,10.700000000000728,34.599999999998545,0.6999999999998181,-0.5,-5.0,18.0,89.0,57.0,40.0,13.0,-18.0,-1.0,7.0,-24.0
21,2005-07-01,0.0,263.0,1.0,20.0,-1.0,10.0,41.0,12.5,0.39999999999997726,4.0,19.0,66.0,54.0,30.0,6.0,94.0,-5.0,11.0,88.0
22,2005-08-01,4243.0,192.0,4.0,41.0,-23.0,10.099999999999454,16.0,5.0,0.5,2.0,24.0,59.0,34.0,24.0,-4.0,6.0,3.0,-2.0,5.0
23,2005-09-01,56.0,74.0,6.0,21.0,-28.0,5.600000000000364,-27.19999999999891,3.100000000000364,-1.099999999999909,7.0,9.0,70.0,39.0,-29.0,-2.0,-18.0,1.0,2.0,-21.0
24,2005-10-01,93.0,109.0,4.0,45.0,17.0,8.800000000000182,-3.3000000000010914,6.800000000000182,0.0,-15.0,35.0,21.0,23.0,-22.0,-11.0,-16.0,3.0,-3.0,-16.0
25,2005-11-01,357.0,327.0,7.0,64.0,-5.0,11.599999999999454,31.900000000001455,13.199999999999818,-0.900000000000091,0.0,22.0,79.0,52.0,44.0,8.0,30.0,4.0,8.0,18.0
26,2005-12-01,160.0,140.0,3.0,9.0,6.0,12.300000000000182,6.5,4.800000000000182,-1.6999999999999318,-3.0,3.0,34.0,30.0,21.0,15.0,20.0,-6.0,16.0,10.0
27,2006-01-01,264.0,296.0,6.0,68.0,17.0,19.600000000000364,-12.800000000001091,16.599999999999454,-0.8000000000000682,2.0,21.0,53.0,52.0,40.0,15.0,-32.0,-6.0,-28.0,2.0
28,2006-02-01,306.0,275.0,6.0,63.0,-1.0,15.599999999999454,5.800000000001091,10.200000000000728,0.3000000000000682,-2.0,28.0,61.0,52.0,35.0,1.0,31.0,6.0,16.0,9.0
29,2006-03-01,309.0,284.0,6.0,25.0,5.0,15.5,26.69999999999891,-0.3000000000001819,-2.6000000000000227,3.0,17.0,87.0,47.0,54.0,1.0,25.0,0.0,10.0,15.0
30,2006-04-01,171.0,155.0,10.0,37.0,12.0,11.900000000000546,-33.69999999999891,15.5,1.3999999999999773,-8.0,22.0,21.0,25.0,40.0,0.0,16.0,0.0,5.0,11.0
31,2006-05-01,36.0,29.0,3.0,-13.0,-23.0,11.799999999999272,-32.400000000001455,12.5,-0.6000000000000227,-8.0,4.0,58.0,30.0,-22.0,9.0,7.0,1.0,8.0,-2.0
