,Month,CPI,InterestRate,GDP,Borrowing,CommercialLoan,ConsumerLoan,Deficit,ITBPrice,ITBVol,VGTPrice,VGTVol,S&P500Price,S&P500Vol
0,2006-05-01,0.15045,4.3573,0.68786,0.25008,11.5,4.1,-0.2847773761500205,,,-0.04974146884794818,0.7576811760872482,,
1,2006-06-01,0.50075,3.13152,0.68786,-0.40885,17.8,5.4,-2.3935225900259143,-0.14134242171148537,0.05867626349554074,-0.058480351953740156,-0.35729824924893816,-0.14134242171148537,0.05867626349554074
2,2006-07-01,0.29895,1.01215,0.68786,1.64957,20.1,7.8,-1.3610454304490875,-0.08783902143813438,2.328674623115578,-0.036030844774846825,0.028368794326241134,-0.08783902143813438,2.328674623115578
3,2006-08-01,0.24839,5.01002,0.37812,0.75333,22.3,4.5,-1.478173724567087,-0.021041771490252083,0.7960786083346496,0.032067068622663314,-0.368215892053973,-0.021041771490252083,0.7960786083346496
4,2006-09-01,0.54509,0.19084,0.37812,-0.89659,17.7,5.6,-2.6164156553102305,0.04641166427155627,2.381465755489674,0.0666670746195047,0.26707403891789266,0.04641166427155627,2.381465755489674
5,2006-10-01,0.44357,0.0,0.37812,-0.57,22.2,7.4,0.9514232300084429,0.04686740348741236,-0.43606131551514943,0.0446462961046103,0.280520039942827,0.04686740348741236,-0.43606131551514943
6,2006-11-01,-0.49068,0.0,0.2829933333333333,2.31258,-1.5,4.9,-1.8678863358931965,0.009897306049760215,0.6440404040404042,0.03712775219701251,0.7301732925586137,0.009897306049760215,0.6440404040404042
7,2006-12-01,-0.44379,0.0,0.2829933333333333,3.72001,7.3,6.1,-1.8781134830060355,0.08959956238376103,-0.57532563283362,0.006345394820112423,-0.5581659105638367,0.08959956238376103,-0.57532563283362
8,2007-01-01,0.04953,-0.19048,0.2829933333333333,1.52831,8.8,4.5,0.4809513189108088,-0.0337548775942446,0.40360243055555556,0.005315041178372272,1.3181518151815181,-0.0337548775942446,0.40360243055555556
9,2007-02-01,0.54455,0.19084,0.40704,1.07141,12.7,6.4,-1.574477697762931,0.030144347677178072,-0.1372971530220152,0.006642141249904141,-0.26687447548255605,0.030144347677178072,-0.1372971530220152
10,2007-03-01,0.16593,0.19048,0.40704,1.04557,10.0,4.8,-0.08877290817664021,-0.13249922916076007,-0.21518707296325768,-0.027994068058999635,-0.02973314502341485,-0.13249922916076007,-0.21518707296325768
11,2007-04-01,0.38784,0.0,0.40704,0.41107,12.7,4.8,-4.138220525159536,-0.029291788394922247,0.6640896823749223,0.03942633806320926,-0.29361960213488597,-0.029291788394922247,0.6640896823749223
12,2007-05-01,0.52001,-0.19011,0.41808333333333336,0.23321,10.6,3.8,-0.1977031993532956,0.032841968013022846,0.0691972973782174,0.03884412076950772,0.4984373390115739,0.032841968013022846,0.0691972973782174
13,2007-06-01,0.30007,0.0,0.41808333333333336,0.83888,10.0,5.2,-2.8455801391918563,-0.06783897890332004,0.37175927006277265,0.019177247852133806,-0.0814424325769729,-0.06783897890332004,0.37175927006277265
14,2007-07-01,0.4133,0.0,0.41808333333333336,-0.62726,17.5,4.6,-1.3810293008543737,-0.12242392780884731,0.5528229255774166,0.03313081736212729,0.5729969938570121,-0.12242392780884731,0.5528229255774166
15,2007-08-01,0.23168,0.19048,0.43715,1.88159,15.7,6.2,-1.4059291865463301,-0.16069919192414808,0.5055493015095537,-0.03706927109988639,0.3024620220010477,-0.16069919192414808,0.5055493015095537
16,2007-09-01,0.17806,-4.56274,0.43715,2.01257,10.5,2.2,-2.3262617808667807,-0.12435421549400413,-0.07014222523421827,0.038166083082790216,-0.1356808260165792,-0.12435421549400413,-0.07014222523421827
17,2007-10-01,0.03083,-1.59363,0.43715,1.81169,24.1,7.4,2.209399950613219,-0.03911645466482869,0.17155796937300583,0.05224614523688469,0.2171607539353182,-0.03911645466482869,0.17155796937300583
18,2007-11-01,0.42376,-3.64372,0.3750266666666667,2.03707,37.4,6.8,-1.9648893334359212,-0.13300590195604628,-0.3293042563153797,-0.0298385088264647,0.13228977987297005,-0.13300590195604628,-0.3293042563153797
19,2007-12-01,0.30832,-5.67227,0.3750266666666667,-0.79327,22.3,4.2,-1.50358832597948,-0.018798843455263996,-0.18477573632977562,0.002621436349807377,-0.2766066838046272,-0.018798843455263996,-0.18477573632977562
20,2008-01-01,0.78589,-5.56793,0.3750266666666667,1.227,15.9,8.6,0.7283859389844822,-0.09693532139818811,1.3391282980618608,-0.10920554117646922,1.6414800995024876,-0.09693532139818811,1.3391282980618608
21,2008-02-01,0.2898,-7.07547,0.3454633333333333,2.02948,20.4,5.4,-1.4912661088377206,0.19622725589798465,0.021017168931783844,-0.04689465596654071,-0.4268393172454385,0.19622725589798465,0.021017168931783844
22,2008-03-01,0.34477,-24.36548,0.3454633333333333,0.26362,20.4,3.3,-0.6303640620791114,-0.046378559277953674,0.3569575810090757,-0.01299136562293673,0.1616348326144999,-0.046378559277953674,0.3569575810090757
23,2008-04-01,0.24178,-12.41611,0.3454633333333333,0.85426,12.2,7.4,-10.841526991423287,0.1289417103534585,0.26617883874236287,0.048066739047328305,0.3715925163944965,0.1289417103534585,0.26617883874236287
24,2008-05-01,0.3578,-12.64368,-0.0193,1.15254,17.5,9.3,-0.7253863285544221,-0.09507473029491019,-0.5360071041974477,0.06494726308201874,-0.6356014251953784,-0.09507473029491019,-0.5360071041974477
25,2008-06-01,0.23144,-13.15789,-0.0193,0.8198,15.7,8.3,-4.303783290467104,-0.1581381830198544,-0.16971163541036505,-0.01265508268630488,0.47974395687694776,-0.1581381830198544,-0.16971163541036505
