Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Private education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
4/1/2022,151678,129577,598,7698,12768,5942.8,15504.6,6621.9,551.8,3035,9034,22421,24105,15626,5671,22101,2871,5077,14153
5/1/2022,152042,129920,600,7736,12789,5961.1,15453.2,6667.2,552.5,3067,9040,22493,24181,15699,5681,22122,2868,5092,14162
6/1/2022,152412,130302,607,7749,12819,5966.3,15467.3,6684.2,552.9,3089,9043,22582,24277,15774,5691,22110,2851,5090,14169
7/1/2022,152980,130795,613,7773,12860,5982.3,15476.7,6703.6,554.2,3102,9057,22659,24404,15887,5723,22185,2867,5103,14215
8/1/2022,153332,131101,611,7781,12891,5995.5,15513.4,6712.1,555.5,3110,9066,22707,24496,15935,5727,22231,2865,5109,14257
9/1/2022,153682,131445,613,7797,12917,6003.8,15502.3,6721.8,555.6,3113,9068,22755,24576,16074,5748,22237,2867,5115,14255
10/1/2022,154006,131744,616,7814,12954,6019.6,15496.7,6741.7,556.9,3116,9086,22791,24661,16135,5756,22262,2871,5104,14287
11/1/2022,154296,131972,624,7833,12968,6019.2,15451.1,6704.6,556,3129,9097,22791,24756,16258,5785,22324,2873,5116,14335
12/1/2022,154535,132204,628,7859,12974,6028.8,15477.8,6704.9,555.3,3120,9101,22814,24827,16316,5798,22331,2874,5087,14370
1/1/2023,155007,132557,632,7885,12985,6037.7,15500.1,6736.6,553.7,3097,9100,22858,24938,16415,5819,22450,2886,5156,14408
2/1/2023,155255,132750,633,7899,12988,6044.4,15548.1,6718.9,552.6,3089,9100,22879,25002,16472,5824,22505,2895,5175,14435
3/1/2023,155472,132907,635,7890,12976,6047.9,15529.2,6735.1,554.3,3092,9095,22924,25072,16518,5838,22565,2906,5195,14464
4/1/2023,155689,133086,640,7901,12985,6046.4,15527.2,6720,556,3095,9122,22972,25149,16529,5843,22603,2910,5202,14491
5/1/2023,155970,133341,643,7926,12981,6054.1,15548.1,6738.6,556.7,3091,9135,23017,25237,16557,5856,22629,2919,5216,14494
6/1/2023,156075,133427,642,7955,12985,6047.4,15525.4,6719.5,557.5,3081,9137,23016,25316,16583,5862,22648,2925,5231,14492
7/1/2023,156311,133572,644,7967,12983,6062.8,15538,6712.7,556,3062,9152,22987,25420,16621,5866,22739,2935,5243,14561
8/1/2023,156538,133749,644,8003,12994,6062.8,15538.4,6693.8,558.4,3041,9154,22998,25517,16665,5880,22789,2946,5267,14576
9/1/2023,156874,134012,645,8014,13011,6074.5,15558.1,6702.4,563.2,3036,9157,23019,25587,16761,5884,22862,2952,5296,14614
