,Month,Open,High,Low,Close,Adj Close,Volume
0,2003-01-01,879.820007,935.049988,840.340027,855.700012,855.700012,30749580000
1,2003-02-01,855.700012,864.640015,806.289978,841.150024,841.150024,25235300000
2,2003-03-01,841.150024,895.900024,788.900024,848.179993,848.179993,30080030000
3,2003-04-01,848.179993,924.23999,847.849976,916.919983,916.919983,29669610000
4,2003-05-01,916.919983,965.380005,902.830017,963.590027,963.590027,30952100000
5,2003-06-01,963.590027,1015.330017,963.590027,974.5,974.5,31219400000
6,2003-07-01,974.5,1015.409973,962.099976,990.309998,990.309998,31553200000
7,2003-08-01,990.309998,1011.01001,960.840027,1008.01001,1008.01001,24881470000
8,2003-09-01,1008.01001,1040.290039,990.359985,995.969971,995.969971,29940110000
9,2003-10-01,995.969971,1053.790039,995.969971,1050.709961,1050.709961,32298500000
10,2003-11-01,1050.709961,1063.650024,1031.199951,1058.199951,1058.199951,24463220000
11,2003-12-01,1058.199951,1112.560059,1053.410034,1111.920044,1111.920044,27839130000
12,2004-01-01,1111.920044,1155.380005,1105.079956,1131.130005,1131.130005,32820000000
13,2004-02-01,1131.130005,1158.97998,1124.439941,1144.939941,1144.939941,27985600000
14,2004-03-01,1144.939941,1163.22998,1087.160034,1126.209961,1126.209961,33597900000
15,2004-04-01,1126.209961,1150.569946,1107.22998,1107.300049,1107.300049,31611900000
16,2004-05-01,1107.300049,1127.73999,1076.319946,1120.680054,1120.680054,29326400000
17,2004-06-01,1120.680054,1146.339966,1113.319946,1140.839966,1140.839966,27529500000
18,2004-07-01,1140.839966,1140.839966,1078.780029,1101.719971,1101.719971,29285600000
19,2004-08-01,1101.719971,1109.680054,1060.719971,1104.23999,1104.23999,26586800000
20,2004-09-01,1104.23999,1131.540039,1099.180054,1114.579956,1114.579956,26829870000
21,2004-10-01,1114.579956,1142.050049,1090.290039,1130.199951,1130.199951,31511000000
22,2004-11-01,1130.199951,1188.459961,1127.599976,1173.819946,1173.819946,30460280000
23,2004-12-01,1173.780029,1217.329956,1173.780029,1211.920044,1211.920044,31102500000
24,2005-01-01,1211.920044,1217.800049,1163.75,1181.27002,1181.27002,31498800000
25,2005-02-01,1181.27002,1212.439941,1180.949951,1203.599976,1203.599976,29297410000
26,2005-03-01,1203.599976,1229.109985,1163.689941,1180.589966,1180.589966,39014150000
27,2005-04-01,1180.589966,1191.880005,1136.150024,1156.849976,1156.849976,43424270000
28,2005-05-01,1156.849976,1199.560059,1146.180054,1191.5,1191.5,39321990000
29,2005-06-01,1191.5,1219.589966,1188.300049,1191.329956,1191.329956,40334040000
30,2005-07-01,1191.329956,1245.150024,1183.550049,1234.180054,1234.180054,37464670000
31,2005-08-01,1234.180054,1245.859985,1201.069946,1220.329956,1220.329956,42030090000
32,2005-09-01,1220.329956,1243.130005,1205.349976,1228.810059,1228.810059,44777510000
33,2005-10-01,1228.810059,1233.339966,1168.199951,1207.01001,1207.01001,49793790000
34,2005-11-01,1207.01001,1270.640015,1201.069946,1249.47998,1249.47998,45102870000
35,2005-12-01,1249.47998,1275.800049,1246.589966,1248.290039,1248.290039,41756130000
36,2006-01-01,1248.290039,1294.900024,1245.73999,1280.079956,1280.079956,49211650000
37,2006-02-01,1280.079956,1297.569946,1253.609985,1280.660034,1280.660034,42859940000
38,2006-03-01,1280.660034,1310.880005,1268.420044,1294.869995,1294.869995,50905040000
39,2006-04-01,1302.880005,1318.160034,1280.73999,1310.609985,1310.609985,43308430000
40,2006-05-01,1310.609985,1326.699951,1245.339966,1270.089966,1270.089966,54312830000
41,2006-06-01,1270.050049,1290.680054,1219.290039,1270.199951,1270.199951,54873260000
42,2006-07-01,1270.060059,1280.420044,1224.540039,1276.660034,1276.660034,46348220000
43,2006-08-01,1278.530029,1306.73999,1261.300049,1303.819946,1303.819946,50485620000
44,2006-09-01,1303.800049,1340.280029,1290.930054,1335.849976,1335.849976,49001440000
45,2006-10-01,1335.819946,1389.449951,1327.099976,1377.939941,1377.939941,56793620000
46,2006-11-01,1377.76001,1407.890015,1360.97998,1400.630005,1400.630005,55343930000
47,2006-12-01,1400.630005,1431.810059,1385.930054,1418.300049,1418.300049,47578780000
48,2007-01-01,1418.030029,1441.609985,1403.969971,1438.23999,1438.23999,56686200000
49,2007-02-01,1437.900024,1461.569946,1389.420044,1406.819946,1406.819946,51844990000
50,2007-03-01,1406.800049,1438.890015,1363.97998,1420.859985,1420.859985,67622250000
51,2007-04-01,1420.829956,1498.02002,1416.369995,1482.369995,1482.369995,57032470000
