DATE,NASDAQ100
1986-01-01,131.0377272727272727
1986-02-01,138.6263157894736842
1986-03-01,145.3305000000000000
1986-04-01,154.2395454545454545
1986-05-01,157.8185714285714286
1986-06-01,160.7000000000000000
1986-07-01,150.9245454545454545
1986-08-01,147.5333333333333333
1986-09-01,141.0028571428571429
1986-10-01,140.8095652173913043
1986-11-01,144.2152631578947368
1986-12-01,145.1936363636363636
1987-01-01,160.7628571428571429
1987-02-01,177.2557894736842105
1987-03-01,185.7222727272727273
1987-04-01,184.8728571428571429
1987-05-01,186.9885000000000000
1987-06-01,189.4472727272727273
1987-07-01,192.3950000000000000
1987-08-01,205.9719047619047619
1987-09-01,203.5223809523809524
1987-10-01,175.8550000000000000
1987-11-01,145.6960000000000000
1987-12-01,146.5504545454545455
1988-01-01,158.3235000000000000
1988-02-01,164.3850000000000000
1988-03-01,177.1830434782608696
1988-04-01,175.5615000000000000
1988-05-01,173.0023809523809524
1988-06-01,183.9018181818181818
1988-07-01,185.6105000000000000
1988-08-01,174.4943478260869565
1988-09-01,175.5271428571428571
1988-10-01,176.2485714285714286
1988-11-01,169.3466666666666667
1988-12-01,173.5290476190476190
1989-01-01,179.6271428571428571
1989-02-01,187.4768421052631579
1989-03-01,184.1768181818181818
1989-04-01,193.5030000000000000
1989-05-01,207.7263636363636364
1989-06-01,213.9836363636363636
1989-07-01,210.5240000000000000
1989-08-01,217.3369565217391304
1989-09-01,223.4335000000000000
1989-10-01,228.3186363636363636
1989-11-01,221.8485714285714286
1989-12-01,219.6255000000000000
1990-01-01,212.4018181818181818
1990-02-01,206.1742105263157895
1990-03-01,213.7250000000000000
1990-04-01,211.2350000000000000
1990-05-01,224.0450000000000000
1990-06-01,237.5128571428571429
1990-07-01,235.1009523809523810
1990-08-01,199.9439130434782609
1990-09-01,186.8552631578947368
1990-10-01,174.6086956521739130
1990-11-01,184.7304761904761905
1990-12-01,198.8035000000000000
1991-01-01,207.5268181818181818
1991-02-01,246.3873684210526316
1991-03-01,257.7290000000000000
1991-04-01,274.0981818181818182
1991-05-01,267.2318181818181818
1991-06-01,264.8830000000000000
1991-07-01,262.5809090909090909
1991-08-01,280.9872727272727273
1991-09-01,282.9855000000000000
1991-10-01,286.8417391304347826
1991-11-01,290.1165000000000000
1991-12-01,302.3800000000000000
1992-01-01,343.3745454545454545
1992-02-01,345.2557894736842105
1992-03-01,336.8331818181818182
1992-04-01,312.4457142857142857
1992-05-01,309.4200000000000000
1992-06-01,302.8950000000000000
1992-07-01,304.6254545454545455
1992-08-01,300.9785714285714286
1992-09-01,313.3219047619047619
1992-10-01,316.4804545454545455
1992-11-01,342.6440000000000000
1992-12-01,355.9613636363636364
1993-01-01,372.5120000000000000
1993-02-01,358.9336842105263158
1993-03-01,356.2243478260869565
1993-04-01,341.0852380952380952
1993-05-01,358.6930000000000000
1993-06-01,363.8463636363636364
1993-07-01,357.3509523809523810
1993-08-01,365.5463636363636364
1993-09-01,372.5861904761904762
1993-10-01,385.5552380952380952
1993-11-01,386.7380952380952381
1993-12-01,391.8922727272727273
1994-01-01,407.5876190476190476
1994-02-01,406.1010526315789474
1994-03-01,406.6386956521739130
1994-04-01,373.3215789473684211
1994-05-01,371.9109523809523810
1994-06-01,370.0777272727272727
1994-07-01,362.8515000000000000
1994-08-01,381.6326086956521739
1994-09-01,395.2633333333333333
1994-10-01,397.9990476190476190
1994-11-01,406.6104761904761905
1994-12-01,396.3042857142857143
1995-01-01,408.0066666666666667
1995-02-01,425.1068421052631579
1995-03-01,444.0352173913043478
1995-04-01,453.0989473684210526
1995-05-01,484.3522727272727273
1995-06-01,517.5527272727272727
1995-07-01,568.2080000000000000
1995-08-01,575.5152173913043478
1995-09-01,594.5470000000000000
1995-10-01,579.7222727272727273
1995-11-01,595.7614285714285714
1995-12-01,580.9395000000000000
1996-01-01,563.3940909090909091
1996-02-01,622.6970000000000000
1996-03-01,610.0376190476190476
1996-04-01,631.3952380952380952
1996-05-01,680.1290909090909091
1996-06-01,680.6065000000000000
1996-07-01,638.2309090909090909
1996-08-01,672.3136363636363636
1996-09-01,707.4735000000000000
1996-10-01,751.5995652173913043
1996-11-01,800.4440000000000000
1996-12-01,834.9966666666666667
1997-01-01,880.9259090909090909
1997-02-01,886.3510526315789474
1997-03-01,833.5340000000000000
1997-04-01,818.9068181818181818
1997-05-01,932.7271428571428571
1997-06-01,960.3623809523809524
1997-07-01,1050.2118181818181818
1997-08-01,1108.7185714285714286
1997-09-01,1110.2857142857142857
1997-10-01,1091.6604347826086957
1997-11-01,1034.1263157894736842
1997-12-01,1006.8736363636363636
1998-01-01,1014.5955000000000000
1998-02-01,1148.1026315789473684
1998-03-01,1177.9945454545454545
1998-04-01,1229.8380952380952381
1998-05-01,1236.8240000000000000
1998-06-01,1236.4968181818181818
1998-07-01,1400.3891304347826087
1998-08-01,1345.3742857142857143
1998-09-01,1304.7500000000000000
1998-10-01,1282.7440909090909091
1998-11-01,1501.8935000000000000
1998-12-01,1711.2177272727272727
1999-01-01,1986.9800000000000000
1999-02-01,1992.5984210526315789
1999-03-01,2028.9965217391304348
1999-04-01,2158.3700000000000000
1999-05-01,2122.4075000000000000
1999-06-01,2151.6040909090909091
1999-07-01,2346.8795238095238095
1999-08-01,2302.9181818181818182
1999-09-01,2464.7766666666666667
1999-10-01,2482.7490476190476190
1999-11-01,2882.1638095238095238
1999-12-01,3358.2240909090909091
2000-01-01,3633.1085000000000000
2000-02-01,4012.3705000000000000
2000-03-01,4436.5400000000000000
2000-04-01,3742.2500000000000000
