DATE,H8B3094NCBA
1977-06-15,24332.4
1977-06-22,25745.4
1977-06-29,26536.1
1977-07-06,24466.3
1977-07-13,24647.6
1977-07-20,24366.5
1977-07-27,25132.6
1977-08-03,24541.7
1977-08-10,24479.6
1977-08-17,24694.6
1977-08-24,25367.6
1977-08-31,25286.8
1977-09-07,24358.2
1977-09-14,25088.9
1977-09-21,25440.7
1977-09-28,26974.3
1977-10-05,25534.2
1977-10-12,24969.0
1977-10-19,25623.6
1977-10-26,26831.7
1977-11-02,25676.1
1977-11-09,26242.5
1977-11-16,26252.7
1977-11-23,27174.8
1977-11-30,27312.0
1977-12-07,27849.1
1977-12-14,28476.2
1977-12-21,29011.5
1977-12-28,30171.2
1978-01-04,30478.8
1978-01-11,29164.8
1978-01-18,29032.9
1978-01-25,28633.8
1978-02-01,28259.0
1978-02-08,28984.3
1978-02-15,28627.1
1978-02-22,29653.8
1978-03-01,29635.0
1978-03-08,29384.6
1978-03-15,29736.6
1978-03-22,31226.8
1978-03-29,32608.8
1978-04-05,30996.5
1978-04-12,31086.3
1978-04-19,30877.0
1978-04-26,32237.5
1978-05-03,32804.6
1978-05-10,33815.4
1978-05-17,34427.3
1978-05-24,36007.7
1978-05-31,36063.9
1978-06-07,35261.2
1978-06-14,34847.3
1978-06-21,34759.6
1978-06-28,36379.3
1978-07-05,34341.3
1978-07-12,34445.0
1978-07-19,35625.9
1978-07-26,35772.4
1978-08-02,35161.3
1978-08-09,34584.8
1978-08-16,34879.7
1978-08-23,35348.5
1978-08-30,35280.9
1978-09-06,34534.3
1978-09-13,34846.1
1978-09-20,35956.2
1978-09-27,36868.1
1978-10-04,35414.8
1978-10-11,36468.7
1978-10-18,37150.0
1978-10-25,38961.4
1978-11-01,38622.5
1978-11-08,38058.8
1978-11-15,38775.6
1978-11-22,37574.6
1978-11-29,40142.1
1978-12-06,41019.9
1978-12-13,42821.1
1978-12-20,41096.2
1978-12-27,40939.4
1979-01-03,133426.7
1979-01-10,132498.5
1979-01-17,135559.3
1979-01-24,138331.8
1979-01-31,139772.1
1979-02-07,140280.8
1979-02-14,138843.2
1979-02-21,134706.4
1979-02-28,137736.9
1979-03-07,139086.1
1979-03-14,145143.0
1979-03-21,144256.1
1979-03-28,141700.4
1979-04-04,141682.2
1979-04-11,144469.8
1979-04-18,150444.8
1979-04-25,147350.3
1979-05-02,148011.5
1979-05-09,150461.7
1979-05-16,150372.9
1979-05-23,152611.7
1979-05-30,156516.0
1979-06-06,155333.5
1979-06-13,154815.3
1979-06-20,158408.8
1979-06-27,165316.0
1979-07-04,162701.4
1979-07-11,161853.3
1979-07-18,164643.8
1979-07-25,166945.4
1979-08-01,166039.9
1979-08-08,165602.3
1979-08-15,166411.7
1979-08-22,168717.6
1979-08-29,170858.3
1979-09-05,172018.9
1979-09-12,170864.8
1979-09-19,176044.4
1979-09-26,178517.2
1979-10-03,172668.5
1979-10-10,176890.4
1979-10-17,174010.4
1979-10-24,173570.1
1979-10-31,171128.3
1979-11-07,165200.5
1979-11-14,170038.8
1979-11-21,169029.0
1979-11-28,171481.5
1979-12-05,170094.3
1979-12-12,172581.7
1979-12-19,174151.7
1979-12-26,180191.4
1980-01-02,183511.7
1980-01-09,176955.3
1980-01-16,173917.6
1980-01-23,179980.5
1980-01-30,179361.6
1980-02-06,179228.1
1980-02-13,183098.1
1980-02-20,186347.9
1980-02-27,181375.7
1980-03-05,178036.7
1980-03-12,177610.5
1980-03-19,177560.5
1980-03-26,185756.2
1980-04-02,179745.4
1980-04-09,183077.0
1980-04-16,184603.1
1980-04-23,182939.8
1980-04-30,185304.9
1980-05-07,183852.3
1980-05-14,189891.6
1980-05-21,190617.3
1980-05-28,198817.4
1980-06-04,191501.4
1980-06-11,194983.4
1980-06-18,194509.5
1980-06-25,197747.9
1980-07-02,198026.5
1980-07-09,199217.0
1980-07-16,200404.9
1980-07-23,203378.5
1980-07-30,205721.8
1980-08-06,204076.9
1980-08-13,206922.7
1980-08-20,206683.0
1980-08-27,208197.0
1980-09-03,204471.8
1980-09-10,205744.7
1980-09-17,204642.0
1980-09-24,208040.5
1980-10-01,210456.5
1980-10-08,206324.4
1980-10-15,203264.4
1980-10-22,210039.7
1980-10-29,211567.0
1980-11-05,210418.9
1980-11-12,207645.6
1980-11-19,211266.0
1980-11-26,212656.7
1980-12-03,206641.7
1980-12-10,212482.7
1980-12-17,215687.8
1980-12-24,213547.8
1980-12-31,206418.6
1981-01-07,212241.9
1981-01-14,216833.9
1981-01-21,211282.2
1981-01-28,211901.3
1981-02-04,211374.8
1981-02-11,212139.9
1981-02-18,211672.0
1981-02-25,219142.3
1981-03-04,215987.8
1981-03-11,215098.2
1981-03-18,220476.1
1981-03-25,223345.5
1981-04-01,227275.0
1981-04-08,226385.6
1981-04-15,223338.2
1981-04-22,230511.9
1981-04-29,233357.5
1981-05-06,225573.4
1981-05-13,221794.6
1981-05-20,224274.0
1981-05-27,220849.3
1981-06-03,223524.0
1981-06-10,229971.5
1981-06-17,235323.4
1981-06-24,229688.9
1981-07-01,224475.6
1981-07-08,229780.5
1981-07-15,229815.0
1981-07-22,225697.2
1981-07-29,220490.9
1981-08-05,225432.0
1981-08-12,223686.0
1981-08-19,227736.6
1981-08-26,227276.8
1981-09-02,229719.5
1981-09-09,234209.5
1981-09-16,237256.2
1981-09-23,234360.1
1981-09-30,240032.0
1981-10-07,232454.9
1981-10-14,240540.7
1981-10-21,245064.3
1981-10-28,241923.2
1981-11-04,243884.3
1981-11-11,253860.5
1981-11-18,254748.5
1981-11-25,255613.9
1981-12-02,258769.4
1981-12-09,256134.3
1981-12-16,252809.1
1981-12-23,254595.0
1981-12-30,254792.1
1982-01-06,253786.3
1982-01-13,254736.0
1982-01-20,259389.4
1982-01-27,257689.2
1982-02-03,264466.7
1982-02-10,264181.6
1982-02-17,261351.3
1982-02-24,258480.1
1982-03-03,268442.4
1982-03-10,272732.8
1982-03-17,267010.3
1982-03-24,263964.3
1982-03-31,265617.9
1982-04-07,267600.0
1982-04-14,267342.8
1982-04-21,264951.4
1982-04-28,258530.6
1982-05-05,266637.3
1982-05-12,268666.2
1982-05-19,263673.2
1982-05-26,265447.6
1982-06-02,266480.0
1982-06-09,269244.0
1982-06-16,265588.2
1982-06-23,258981.6
1982-06-30,258572.0
1982-07-07,259367.2
1982-07-14,262532.1
1982-07-21,263619.4
1982-07-28,270511.7
1982-08-04,269397.8
1982-08-11,272972.5
1982-08-18,273301.0
1982-08-25,271669.2
1982-09-01,270163.6
1982-09-08,274895.2
1982-09-15,277574.1
1982-09-22,271362.7
1982-09-29,272010.3
1982-10-06,277241.5
1982-10-13,279580.3
1982-10-20,277153.4
1982-10-27,277032.2
1982-11-03,278306.8
1982-11-10,279550.3
1982-11-17,273063.7
1982-11-24,270874.3
1982-12-01,273430.2
1982-12-08,280249.6
1982-12-15,277953.9
1982-12-22,278659.0
1982-12-29,284958.4
1983-01-05,286415.2
1983-01-12,290959.1
1983-01-19,286347.2
1983-01-26,286332.6
1983-02-02,282279.8
1983-02-09,275697.2
1983-02-16,275586.4
1983-02-23,274927.2
1983-03-02,284493.2
1983-03-09,280246.0
1983-03-16,287047.6
1983-03-23,272863.4
1983-03-30,274102.5
1983-04-06,288442.2
1983-04-13,277546.9
1983-04-20,275468.2
1983-04-27,274945.1
1983-05-04,278961.5
1983-05-11,280186.5
1983-05-18,278955.8
1983-05-25,277049.8
1983-06-01,280408.4
1983-06-08,274886.9
1983-06-15,274605.5
1983-06-22,276395.2
1983-06-29,281171.1
1983-07-06,292748.3
1983-07-13,284082.3
1983-07-20,288023.5
1983-07-27,286596.2
1983-08-03,285286.3
1983-08-10,283960.1
1983-08-17,279516.9
1983-08-24,282763.2
1983-08-31,286536.5
1983-09-07,282660.2
1983-09-14,281157.5
1983-09-21,285845.7
1983-09-28,284296.0
1983-10-05,299093.3
1983-10-12,299102.6
1983-10-19,297577.0
1983-10-26,294796.5
1983-11-02,294102.7
1983-11-09,287518.2
1983-11-16,285920.0
1983-11-23,286684.4
1983-11-30,282347.6
1983-12-07,286670.1
1983-12-14,283349.6
1983-12-21,276633.6
1983-12-28,274606.3
1984-01-04,285804.7
1984-01-11,286293.8
1984-01-18,293993.5
1984-01-25,295193.3
1984-02-01,298184.8
1984-02-08,295035.4
1984-02-15,296796.9
1984-02-22,293382.5
1984-02-29,292654.1
1984-03-07,290844.1
1984-03-14,296347.6
1984-03-21,292864.1
1984-03-28,296460.3
1984-04-04,295230.4
1984-04-11,299611.2
1984-04-18,297544.2
1984-04-25,302642.3
1984-05-02,296704.1
1984-05-09,308312.7
1984-05-16,296858.0
1984-05-23,302655.1
1984-05-30,298243.1
1984-06-06,310558.2
1984-06-13,301428.6
1984-06-20,313198.1
1984-06-27,302318.8
1984-07-04,298544.3
1984-07-11,299096.3
1984-07-18,303698.5
1984-07-25,303627.4
1984-08-01,309115.0
1984-08-08,308907.7
1984-08-15,313840.1
1984-08-22,310278.0
1984-08-29,316220.9
1984-09-05,311478.4
1984-09-12,319698.4
1984-09-19,313342.4
1984-09-26,315322.3
1984-10-03,304017.6
1984-10-10,307827.3
1984-10-17,300647.9
1984-10-24,308556.8
1984-10-31,319734.9
1984-11-07,322729.8
1984-11-14,314466.2
1984-11-21,322382.6
1984-11-28,309365.7
1984-12-05,317060.7
1984-12-12,311384.9
1984-12-19,317521.8
1984-12-26,314633.1
1985-01-02,316450.6
1985-01-09,307074.5
1985-01-16,310499.1
1985-01-23,304880.0
1985-01-30,307120.6
1985-02-06,303761.4
1985-02-13,309681.1
1985-02-20,307780.9
1985-02-27,312048.0
1985-03-06,302036.8
1985-03-13,307257.6
1985-03-20,301730.4
1985-03-27,305963.5
1985-04-03,278209.5
1985-04-10,279076.8
1985-04-17,282234.1
1985-04-24,282089.1
1985-05-01,287928.1
1985-05-08,292639.4
1985-05-15,297721.4
1985-05-22,299506.3
1985-05-29,289707.1
1985-06-05,302966.8
1985-06-12,297475.2
1985-06-19,304795.0
1985-06-26,299503.7
1985-07-03,310504.2
1985-07-10,303644.7
1985-07-17,307716.6
1985-07-24,299280.0
1985-07-31,308137.8
1985-08-07,297922.1
1985-08-14,304704.6
1985-08-21,299279.8
1985-08-28,304859.5
1985-09-04,306446.2
1985-09-11,307976.9
1985-09-18,302911.0
1985-09-25,312102.0
1985-10-02,301982.2
1985-10-09,305010.7
1985-10-16,297113.7
1985-10-23,297711.6
1985-10-30,295594.3
1985-11-06,321788.1
1985-11-13,319129.4
1985-11-20,329277.5
1985-11-27,336670.0
1985-12-04,346014.3
1985-12-11,337429.9
1985-12-18,352948.0
1985-12-25,348167.4
1986-01-01,351339.6
1986-01-08,338438.5
1986-01-15,346407.9
1986-01-22,335660.3
1986-01-29,338788.9
1986-02-05,335086.7
1986-02-12,336762.0
1986-02-19,336281.4
1986-02-26,342616.8
1986-03-05,347013.8
1986-03-12,355453.0
1986-03-19,343420.8
1986-03-26,349308.0
1986-04-02,342023.4
1986-04-09,353021.0
1986-04-16,345539.8
1986-04-23,354938.0
1986-04-30,354071.3
1986-05-07,354398.7
1986-05-14,346163.0
1986-05-21,349105.6
1986-05-28,346660.3
1986-06-04,349198.6
1986-06-11,344748.8
1986-06-18,352279.2
1986-06-25,348466.5
1986-07-02,355882.5
1986-07-09,353850.4
1986-07-16,359130.4
1986-07-23,359801.8
1986-07-30,365323.4
1986-08-06,365857.1
1986-08-13,367871.8
1986-08-20,368551.4
1986-08-27,372980.2
1986-09-03,381706.0
1986-09-10,380958.7
1986-09-17,376837.2
1986-09-24,371442.4
1986-10-01,375667.6
1986-10-08,373269.3
1986-10-15,366185.7
1986-10-22,367283.2
1986-10-29,364519.0
1986-11-05,369670.8
1986-11-12,372782.8
1986-11-19,384508.3
1986-11-26,377668.0
1986-12-03,380450.4
1986-12-10,387815.8
1986-12-17,391654.7
1986-12-24,394417.8
1986-12-31,395709.0
1987-01-07,411100.8
1987-01-14,406480.6
1987-01-21,399825.5
1987-01-28,406871.5
1987-02-04,397746.6
1987-02-11,402408.3
1987-02-18,393534.1
1987-02-25,395799.0
1987-03-04,388053.3
1987-03-11,389208.8
1987-03-18,391400.9
1987-03-25,394364.5
1987-04-01,396782.0
1987-04-08,400496.5
1987-04-15,393565.3
1987-04-22,401546.6
1987-04-29,392210.8
1987-05-06,399544.7
1987-05-13,398739.7
1987-05-20,405114.0
1987-05-27,412701.4
1987-06-03,404447.8
1987-06-10,403450.9
1987-06-17,400936.2
1987-06-24,399589.1
1987-07-01,396973.0
1987-07-08,398606.4
1987-07-15,400909.9
1987-07-22,402389.2
1987-07-29,402788.4
1987-08-05,400004.5
1987-08-12,411644.5
1987-08-19,402779.8
1987-08-26,419612.1
1987-09-02,393134.1
1987-09-09,406387.1
1987-09-16,406340.7
1987-09-23,409867.2
1987-09-30,401857.1
1987-10-07,400504.7
1987-10-14,401286.2
1987-10-21,418438.6
1987-10-28,421150.1
1987-11-04,408064.3
1987-11-11,409134.2
1987-11-18,411228.9
1987-11-25,408076.1
1987-12-02,411789.5
1987-12-09,407334.2
1987-12-16,410158.0
1987-12-23,398221.1
1987-12-30,417805.3
1988-01-06,409410.1
1988-01-13,415503.0
1988-01-20,418893.9
1988-01-27,424790.4
1988-02-03,419615.4
1988-02-10,423863.4
1988-02-17,419071.5
1988-02-24,422661.3
1988-03-02,422710.9
1988-03-09,433364.7
1988-03-16,432304.8
1988-03-23,438300.6
1988-03-30,433420.2
1988-04-06,446235.0
1988-04-13,438314.4
1988-04-20,448405.2
1988-04-27,441345.4
1988-05-04,451790.3
1988-05-11,450174.9
1988-05-18,445332.1
1988-05-25,439953.2
1988-06-01,452570.9
1988-06-08,448592.3
1988-06-15,457665.3
1988-06-22,448816.0
1988-06-29,462033.8
1988-07-06,449864.3
1988-07-13,458688.0
1988-07-20,457517.0
1988-07-27,459529.2
1988-08-03,444639.0
1988-08-10,454936.3
1988-08-17,443915.8
1988-08-24,447644.6
1988-08-31,441682.0
1988-09-07,452913.4
1988-09-14,438916.7
1988-09-21,465829.3
1988-09-28,453175.6
1988-10-05,454730.2
1988-10-12,450427.7
1988-10-19,459582.7
1988-10-26,453571.8
1988-11-02,451141.9
1988-11-09,449390.1
1988-11-16,451361.5
1988-11-23,452210.4
1988-11-30,455396.4
1988-12-07,453701.2
1988-12-14,455898.9
1988-12-21,460704.3
1988-12-28,462208.1
1989-01-04,454270.0
1989-01-11,465040.2
1989-01-18,454669.0
1989-01-25,466489.9
1989-02-01,462092.3
1989-02-08,472407.5
1989-02-15,464848.3
1989-02-22,472615.2
1989-03-01,469267.9
1989-03-08,466957.3
1989-03-15,463509.0
1989-03-22,473475.3
1989-03-29,468969.5
1989-04-05,460887.5
1989-04-12,459796.1
1989-04-19,468279.0
1989-04-26,462723.9
1989-05-03,478750.8
1989-05-10,480144.4
1989-05-17,496205.2
1989-05-24,491150.2
1989-05-31,490941.4
1989-06-07,482966.6
1989-06-14,483811.3
1989-06-21,489860.0
1989-06-28,490506.5
1989-07-05,485808.1
1989-07-12,495088.8
1989-07-19,483729.9
1989-07-26,503453.0
1989-08-02,498050.0
1989-08-09,501710.8
1989-08-16,499807.3
1989-08-23,509610.6
1989-08-30,496093.8
1989-09-06,501865.1
1989-09-13,495312.5
1989-09-20,499761.8
1989-09-27,491834.2
1989-10-04,501788.2
1989-10-11,498281.2
1989-10-18,493961.0
1989-10-25,495627.2
1989-11-01,531573.5
1989-11-08,501851.5
1989-11-15,513585.4
1989-11-22,510786.3
1989-11-29,515217.0
1989-12-06,516236.8
1989-12-13,521620.2
1989-12-20,511918.3
1989-12-27,517554.8
1990-01-03,504919.3
1990-01-10,512913.6
1990-01-17,512430.7
1990-01-24,520443.3
1990-01-31,517438.9
1990-02-07,507910.4
1990-02-14,508523.0
1990-02-21,513935.4
1990-02-28,513370.0
1990-03-07,523054.4
1990-03-14,523768.1
1990-03-21,527061.0
1990-03-28,530495.7
1990-04-04,523203.1
1990-04-11,523281.8
1990-04-18,533368.1
1990-04-25,528911.6
1990-05-02,529438.9
1990-05-09,524306.9
1990-05-16,518251.4
1990-05-23,521889.2
1990-05-30,518381.0
1990-06-06,525491.6
1990-06-13,537470.9
1990-06-20,535982.1
1990-06-27,540249.0
1990-07-04,521217.8
1990-07-11,534099.8
1990-07-18,538737.5
1990-07-25,544646.9
1990-08-01,546508.9
1990-08-08,555702.8
1990-08-15,569468.5
1990-08-22,571237.1
1990-08-29,555817.0
1990-09-05,559209.6
1990-09-12,548709.9
1990-09-19,548034.6
1990-09-26,532236.2
1990-10-03,531396.7
