,Month,Open,High,Low,Close,Adj Close,Volume,Avg_price,PC_change_price,PC_change_vol
0,2003-01-01,879.820007,935.049988,840.340027,855.700012,855.700012,30749580000,867.7600095,,
1,2003-02-01,855.700012,864.640015,806.289978,841.150024,841.150024,25235300000,848.425018,-0.022281496368034694,-0.17932862822841808
2,2003-03-01,841.150024,895.900024,788.900024,848.179993,848.179993,30080030000,844.6650085,-0.00443175227065266,0.19198226294119744
3,2003-04-01,848.179993,924.23999,847.849976,916.919983,916.919983,29669610000,882.549988,0.044852076407519356,-0.013644268306913258
4,2003-05-01,916.919983,965.380005,902.830017,963.590027,963.590027,30952100000,940.255005,0.06538441763595605,0.0432257114266079
5,2003-06-01,963.590027,1015.330017,963.590027,974.5,974.5,31219400000,969.0450135,0.030619362137827705,0.008635924541468915
6,2003-07-01,974.5,1015.409973,962.099976,990.309998,990.309998,31553200000,982.404999,0.01378675429301922,0.010692069674625394
7,2003-08-01,990.309998,1011.01001,960.840027,1008.01001,1008.01001,24881470000,999.160004,0.01705508931352657,-0.21144384721676407
8,2003-09-01,1008.01001,1040.290039,990.359985,995.969971,995.969971,29940110000,1001.9899905,0.00283236567583826,0.20330953114908404
9,2003-10-01,995.969971,1053.790039,995.969971,1050.709961,1050.709961,32298500000,1023.339966,0.021307573630896495,0.07877025167910205
10,2003-11-01,1050.709961,1063.650024,1031.199951,1058.199951,1058.199951,24463220000,1054.454956,0.030405330617176377,-0.2425895939439912
11,2003-12-01,1058.199951,1112.560059,1053.410034,1111.920044,1111.920044,27839130000,1085.0599975,0.02902451292570905,0.13799941299632673
12,2004-01-01,1111.920044,1155.380005,1105.079956,1131.130005,1131.130005,32820000000,1121.5250245,0.0336064614712699,0.17891615147456116
13,2004-02-01,1131.130005,1158.97998,1124.439941,1144.939941,1144.939941,27985600000,1138.034973,0.014720980931620812,-0.14730042656916514
14,2004-03-01,1144.939941,1163.22998,1087.160034,1126.209961,1126.209961,33597900000,1135.574951,-0.0021616400711439126,0.20054242181693444
15,2004-04-01,1126.209961,1150.569946,1107.22998,1107.300049,1107.300049,31611900000,1116.755005,-0.01657305489472713,-0.05911083728447314
